Year,Holy Year,Total Pilgrims,Gender,Number of Pilgrims by Gender,Completed by,Completed by Number of Pilgrims,Motivation,Motivation Number of Pilgrims,Nationality,Lat,Long,Number of Pilgrims by Nationality,Region Started,Number of Pilgrims per Region Started,Camino Route,Number of Pilgrims per Route,Age Range,Number of Pilgrims per Age Range
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Puerto Rico ,18.2214149,-66.4132818,61,Frómista ,553,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lituania ,55.3500003,23.7499997,12,Gijón ,201,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Grado ,7,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aruba ,12.517572,-69.9649462,1,Granada ,31,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Belice ,16.8259793,-88.7600927,1,Grandas de Salime ,36,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Liechtensein ,47.1416307,9.5531527,3,Grandas de Salime - C.P. ,68,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Grecia ,2,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Guitiriz ,3,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tailandia ,14.8971921,100.83273,3,Hendaya ,66,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sudáfrica ,-28.8166236,24.991639,84,Holanda ,599,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Luxemburgo ,49.8158683,6.1296751,18,Hospital de Orbigo ,325,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Etiopía ,10.2116702,38.6521203,1,Huelva ,22,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Madagascar ,-18.9249604,46.4416422,1,Inglaterra ,14,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Irlanda ,2,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rumania ,45.9852129,24.6859225,51,Irún ,534,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Líbano ,33.8750629,35.843409,3,Italia ,71,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bolivia ,-17.0568696,-64.9912286,28,Jaca ,415,NULL,NULL,NULL,NULL
